number of images:  37
1/f alpha -2.00833517987
1.42195125e-07
 
Photoreceptor Activity (proportion of diffraction)
 
index	obj_dist_mm	focus_D	off_axis_deg	wavelen_nm	pupil_mm	proportion
418	100.0	1.0	10.0	780.0	3.0	0.045
419	100.0	1.0	10.0	800.0	3.0	0.045
420	100.0	1.5	10.0	400.0	3.0	0.1
421	100.0	1.5	10.0	420.0	3.0	0.086
422	100.0	1.5	10.0	440.0	3.0	0.079
423	100.0	1.5	10.0	460.0	3.0	0.067
424	100.0	1.5	10.0	480.0	3.0	0.062
425	100.0	1.5	10.0	500.0	3.0	0.056
426	100.0	1.5	10.0	520.0	3.0	0.053
427	100.0	1.5	10.0	540.0	3.0	0.053
428	100.0	1.5	10.0	560.0	3.0	0.054
429	100.0	1.5	10.0	580.0	3.0	0.055
430	100.0	1.5	10.0	600.0	3.0	0.045
431	100.0	1.5	10.0	620.0	3.0	0.045
432	100.0	1.5	10.0	640.0	3.0	0.045
433	100.0	1.5	10.0	660.0	3.0	0.045
434	100.0	1.5	10.0	680.0	3.0	0.046
435	100.0	1.5	10.0	700.0	3.0	0.046
436	100.0	1.5	10.0	720.0	3.0	0.046
437	100.0	1.5	10.0	740.0	3.0	0.047
438	100.0	1.5	10.0	760.0	3.0	0.047
439	100.0	1.5	10.0	780.0	3.0	0.047
440	100.0	1.5	10.0	800.0	3.0	0.046
441	100.0	2.0	10.0	400.0	3.0	0.104
442	100.0	2.0	10.0	420.0	3.0	0.094
443	100.0	2.0	10.0	440.0	3.0	0.088
444	100.0	2.0	10.0	460.0	3.0	0.08
445	100.0	2.0	10.0	480.0	3.0	0.071
446	100.0	2.0	10.0	500.0	3.0	0.065
447	100.0	2.0	10.0	520.0	3.0	0.06
448	100.0	2.0	10.0	540.0	3.0	0.056
449	100.0	2.0	10.0	560.0	3.0	0.054
450	100.0	2.0	10.0	580.0	3.0	0.053
451	100.0	2.0	10.0	600.0	3.0	0.052
452	100.0	2.0	10.0	620.0	3.0	0.053
453	100.0	2.0	10.0	640.0	3.0	0.054
454	100.0	2.0	10.0	660.0	3.0	0.045
455	100.0	2.0	10.0	680.0	3.0	0.045
456	100.0	2.0	10.0	700.0	3.0	0.045
457	100.0	2.0	10.0	720.0	3.0	0.045
458	100.0	2.0	10.0	740.0	3.0	0.046
459	100.0	2.0	10.0	760.0	3.0	0.045
460	100.0	2.0	10.0	780.0	3.0	0.045
461	100.0	2.0	10.0	800.0	3.0	0.046
462	100.0	2.5	10.0	400.0	3.0	0.109
463	100.0	2.5	10.0	420.0	3.0	0.1
464	100.0	2.5	10.0	440.0	3.0	0.092
